NINE_FIG,MARK_ID
108210022,223410
108210030,223529
108210031,223530
108210032,223531
108210037,210726
108210041,208787
108330012,186366
108330019,189924
108330031,230916
108550001,186874
108550002,223411
108550003,160061
108550004,160062
108550005,160267
108550006,160268
108550009,198455
108550010,198456
108550011,160435
108550012,160436
108550013,160437
108550014,160438
108550015,160439
108550016,159956
108550017,159957
108550018,159958
108550019,159959
108550023,215639
108550024,160336
108550026,198242
108550027,198243
108660000,159543
108660001,159599
108660002,162073
108660003,159527
108660004,159578
108660006,160550
108660008,160833
108660009,160834
108660010,160835
108660011,160836
108660012,161190
108660014,161269
108660015,161707
108660020,186310
108660021,186307
108660022,186308
108660024,186653
108660025,189311
108660026,189254
108660027,193280
108660028,193700
108660029,192943
108660030,198010
108660031,198009
108660032,200889
108660033,198062
108660035,228899
108660040,206049
108660042,226047
108660043,228243
108660051,249339
108660052,259163
108660053,259164
108660054,264543
108660066,264544
108710001,193617
108710002,193618
108710003,193619
108710004,193620
108710005,197967
108710006,197968
108710007,197969
108710008,197964
108710009,197956
108730001,206033
108800002,186222
108800003,186221
108800004,186220
108800020,193151
108800021,193152
108800022,192140
108800023,192141
108800024,192142
108800025,206024
108910086,223511
108950001,238811
108950003,239848
108950004,248919
108950010,222363
108950011,222364
108970003,213699
108970007,159671
108970008,159672
108970009,159673
108970015,159487
108970016,159485
108970017,159486
108970018,199411
108970022,202925
108970023,202924
108970032,197310
108970033,197311
108970034,197331
108970035,197305
108970036,197336
108970065,202926
108970200,211779
108970201,211780
108970202,211781
108970203,211782
108970204,211783
108970205,214099
108970206,214100
108970212,247522
108970213,248240
108970214,254160
108970215,254161
109050001,209277
109050005,216519
109050006,216520
109050007,215819
109050008,215820
109050009,208969
109050010,208970
109050018,246699
109050019,246700
109050022,233868
109050023,233869
109050024,237402
109050025,237403
109100001,266836
109100002,266837
109100003,266838
109100004,266839
109100005,266840
109100006,266841
109100007,266842
109100008,266843
109100009,266844
109100010,266845
109100013,266846
109100014,266847
109100015,266848
109100017,266849
109100019,266850
109100021,266851
109100025,266852
109100026,266853
109100028,266854
109100029,266855
109100031,266856
109100032,266857
109100033,266858
109100034,266859
109100035,266860
109100036,266861
109100038,266862
109100039,266863
109100040,266864
109100041,266865
109100042,266866
109120027,187375
109240001,193281
109240002,193282
109240003,224767
109240004,224768
109240005,217479
109240006,217480
109240009,212719
109240010,212720
109240011,216439
109240012,216440
109240013,223288
109240014,223289
109240015,216939
109240016,216940
109240021,216359
109240022,216360
109240025,218293
109240026,218294
109240027,218295
109240030,222365
109240031,222366
109240033,227515
109240035,222160
109240036,222161
109240039,223790
109240040,223791
109240041,222162
109240042,222163
109240043,225407
109240044,225408
109240045,223987
109240046,223988
109240047,227516
109240048,227517
109240049,227518
109240050,227519
109240051,226727
109240052,226728
109240061,225167
109240062,225168
109240065,226107
109240066,226108
109240070,225667
109240071,225668
109240075,250981
109240076,250982
109240079,227875
109240080,227876
109240081,227877
109240082,227878
109240083,227809
109240084,227810
109240087,228900
109240088,228901
109240090,228244
109240091,228516
109240092,228517
109240093,229216
109240094,229217
109240097,230117
109240098,230118
109240099,228902
109240100,228903
109240101,257306
109240102,257307
109240103,242909
109240104,242910
109300000,197501
109300001,197502
109300002,197503
109380038,210645
109380039,210643
109380043,200313
109380044,200314
109380047,200315
109380053,193009
109380054,193010
109380055,193011
109380056,193012
109380057,193013
109380058,193014
109380059,193015
109380060,192701
109380070,199315
109380071,199316
109380072,188656
109380073,188657
109380074,188658
109380075,188659
109380076,188660
109380077,192702
109380078,192703
109380079,192704
109380080,196258
109380081,196259
109380082,196260
109380083,196261
109390014,159679
109390015,159680
109390040,160274
109390041,160273
109390049,160059
109390050,160580
109390051,160581
109390052,160582
109390053,160583
109390063,160574
109390064,188086
109390065,188085
109390066,191469
109390067,191473
109390083,189989
109390084,189990
109390085,189987
109390086,189988
109390087,189998
109390088,193153
109390089,193154
109390090,203606
109390091,203607
109390092,193877
109390100,198000
109390101,197999
109390102,197998
109390103,197997
109390108,203297
109390109,203298
109390121,218973
109390124,194125
109390125,194126
109390127,211258
109390130,203284
109390131,203285
109390132,198996
109390133,198997
109390134,203283
109390136,198358
109390137,198401
109390140,198785
109390141,198786
109390142,198787
109390143,198773
109390144,198775
109390145,200890
109390148,197918
109390149,198750
109390150,198783
109390154,199412
109390155,199413
109390156,199414
109390157,203303
109390158,203302
109390159,203301
109390160,203300
109390161,203299
109390165,197207
109390166,197208
109390168,200765
109390169,200766
109390170,200767
109390174,197814
109390175,197825
109390176,200175
109390177,200174
109390178,200176
109390186,200639
109390187,200640
109390198,210064
109390199,211259
109390200,210065
109430000,159642
109430001,159643
109430002,160785
109430038,187623
109430039,187657
109430040,187658
109430041,188958
109430042,188978
109430043,188979
109430044,188980
109430047,221799
109430048,191116
109430049,191117
109430050,191115
109430051,191090
109430056,190503
109430065,195941
109500019,206896
109500020,206897
109500025,226729
109500026,226730
109500027,226731
109500028,226732
109500040,220393
109508313,219142
109520000,191676
109520001,191636
109520002,191675
109528325,234153
109550011,188944
109550013,188133
109550014,188135
109550015,188134
109550016,192429
109550017,192430
109550025,193401
109550026,188322
109550027,188323
109550030,186638
109550031,186639
109550032,193283
109550033,193284
109550034,193285
109550035,187557
109550036,188598
109550037,191558
109550038,191557
109550039,191549
109550040,189371
109550041,189372
109550042,189336
109550043,189377
109550044,189378
109550045,192688
109550046,192689
109550047,192690
109550049,195841
109550050,195842
109550051,195849
109550054,197804
109550055,197803
109550058,197801
109550059,197802
109550061,197805
109550062,191466
109550063,191467
109550064,219613
