"PSH_CODE","PSH_NAME"
2714,"GOWANGARDIE"
2715,"GOWAR"
2716,"GOYURA"
2717,"GRACEDALE"
2718,"GRAHAM"
2719,"GRANTON"
2720,"GRANYA"
2721,"GRASSDALE"
2722,"GREDGWIN"
2723,"GREENHILLS"
2724,"GREENSBOROUGH"
2725,"GRE GRE"
2726,"GRETA"
2727,"GRINGEGALGONA"
2728,"GRITJURK"
2729,"GRUYERE"
2730,"GUILDFORD"
2731,"GUNAMALARY"
2732,"GUNBOWER"
2733,"GUNBOWER WEST"
2734,"GUNDOWRING"
2735,"GUNGARLAN"
2736,"GUNYAH GUNYAH"
2737,"GUTCHU"
2738,"GUTTAMURRA"
2739,"GYMBOWEN"
2740,"HADDON"
2741,"HAMILTON NORTH"
2742,"HAMILTON SOUTH"
2743,"HARCOURT"
2744,"HARRIETVILLE"
2745,"HARROW"
2746,"HAVELOCK"
2747,"HAWKESTONE"
2748,"HAYANMI"
2749,"HAZELWOOD"
2750,"HEATHCOTE"
2751,"HELENDOITE"
2752,"HENSLEY"
2753,"HESSE"
2754,"HEXHAM EAST"
2755,"HEXHAM WEST"
2756,"HEYWOOD"
2757,"HILGAY"
2758,"HINDMARSH"
2759,"HINNO-MUNJIE"
2760,"HOLCOMBE"
2761,"HOLDEN"
2762,"HOLEY PLAINS"
2763,"HOMERTON"
2764,"HORSHAM"
2765,"HOTHAM"
2766,"HOTSPUR"
2767,"HOWITT PLAINS"
2768,"HOWQUA"
2769,"HOWQUA WEST"
2770,"HUNTLY"
2771,"ILLAWARRA"
2772,"INDI"
2773,"INGEEGOODBEE"
2774,"INGLEWOOD"
2775,"IRREWARRA"
2776,"IRREWILLIPE"
2777,"JALLAKIN"
2778,"JALLUKAR"
2779,"JALUR"
2780,"JAMIESON"
2781,"JANCOURT"
2782,"JANIEMBER EAST"
2783,"JANIEMBER WEST"
2784,"JAN JUC"
2785,"JARKLAN"
2786,"JEERALANG"
2787,"JEETHO"
2788,"JEETHO WEST"
2789,"JEFFCOTT"
2790,"JELLALABAD"
2791,"JEMBA"
2792,"JENNAWARRA"
2793,"JEPARIT"
2794,"JERRYWAROOK"
2795,"JERUK"
2796,"JIKA JIKA"
2797,"JIL JIL"
2798,"JILPANGER"
2799,"JILWAIN"
2800,"JINDERBOINE"
2801,"JINDIVICK"
2802,"JINGALLALA"
2803,"JINJELLIC"
2804,"JIRNKEE"
2805,"JIRRAH"
2806,"JOEL JOEL"
2807,"JOOP"
2808,"JUMBUK"
2809,"JUMBUNNA"
2810,"JUMBUNNA EAST"
2811,"JUNG JUNG"
2812,"JUNGKUM"
2813,"KAANGLANG"
2814,"KAARIMBA"
2815,"KADNOOK"
2816,"KAERWUT"
2817,"KALADBRO"
2818,"KALINGUR"
2819,"KALKALLO"
2820,"KALKEE"
2821,"KALK KALK"
2822,"KALLERY"
2823,"KALPIENUNG"
2824,"KALYMNA"
2825,"KAMAROOKA"
2826,"KANAWALLA"
2827,"KANAWINKA"
2828,"KANCOBIN"
2829,"KANEIRA"
2830,"KANGDERAAR"
2831,"KANGERONG"
2832,"KANGERTONG"
2833,"KANIVA"
2834,"KANYAPELLA"
2835,"KAPONG"
2836,"KARABEAL"
2837,"KARADOC"
2838,"KARAWAH"
2839,"KARAWINNA"
